Date (LST),Time (LST),Offset (LST),South DeKalb,Confederate Ave,Gwinnett Tech,Yorkville,Newnan,McDonough
11/14/16,6:00,-05:00,23,21.6,29.7,9.1,12.8,10.1
11/14/16,7:00,-05:00,30,24.2,33.1,17.4,13.5,10.1
11/14/16,8:00,-05:00,28,27.9,32.3,23.6,13.3,18.4
11/14/16,9:00,-05:00,41.9,31.6,41.9,23.7,15.7,29.4
11/14/16,10:00,-05:00,45,25.4,17.6,17.4,14.1,19.9
11/14/16,11:00,-05:00,59.5,26.1,38.6,6.7,11.6,10.8
11/14/16,12:00,-05:00,86.6,60.8,88.7,49.9,27.6,28.2
11/14/16,13:00,-05:00,102.6,69.5,65.6,84.9,45.1,69.7
11/14/16,14:00,-05:00,98.9,90.4,94.6,65,61.8,57.6
11/14/16,15:00,-05:00,106.5,84.8,54.8,49.2,52.8,50.3
11/14/16,16:00,-05:00,72,75.5,46.6,43.2,47.2,55.9
11/14/16,17:00,-05:00,84.9,68.6,52.8,25.9,40,72.1
11/14/16,18:00,-05:00,86.9,68.4,57.6,28.9,34.9,80.8
11/14/16,19:00,-05:00,86.3,70.5,64.2,20,39.9,83.5
11/14/16,20:00,-05:00,91.7,70.2,64,35.5,32.9,84.1
11/14/16,21:00,-05:00,79,70.8,61.8,22.8,27,79.2
11/14/16,22:00,-05:00,91.8,68.2,63.1,23.9,28.5,79.1
11/14/16,23:00,-05:00,73,71,62.4,17.2,23.4,77.1
11/15/16,0:00,-05:00,85.5,70.9,62.1,20,22.3,80
11/15/16,1:00,-05:00,87.7,72.1,63.2,11.9,18.1,80.9
11/15/16,2:00,-05:00,87.8,73.6,62.5,32.1,20.2,77.1
11/15/16,3:00,-05:00,85.4,66.5,60.8,27.1,19.4,73.7
11/15/16,4:00,-05:00,87.1,58,59.9,22.5,17.8,68.1
11/15/16,5:00,-05:00,85.1,44.8,61.8,23,19.3,57.8
11/15/16,6:00,-05:00,84.4,44.4,61.4,20.6,18.8,50
11/15/16,7:00,-05:00,79.6,42.6,62.5,23.5,20,42.1
11/15/16,8:00,-05:00,82.1,46.8,69.1,27.2,19.2,39.4
11/15/16,9:00,-05:00,80.1,40.7,74.3,26.9,18.4,44.8
11/15/16,10:00,-05:00,67,26.8,41.3,-2.6,15.2,23.8
11/15/16,11:00,-05:00,42.4,26,37,32.1,7.2,10.7
11/15/16,12:00,-05:00,25.1,14.4,53.8,19,7.4,9.1
11/15/16,13:00,-05:00,38.2,10.1,39.2,16.2,10.4,10.6
